ID,Type,Title,Question,Option,Answer Index,Pre-Code,Exact Input,Expected Output
1-1,reading material,The Awakening,"Every great journey starts with a single word. In Python, the print() function is how your program ""speaks"" to the world.\n\n1. How it Works\nTo make Python say something, you put your message inside the parentheses () and wrap text in quotes ("""").\nExample: print(""Hello, Voyager!"") \n\n2. Why use Quotes?\nThink of quotes as a ""container"" for text (which programmers call a String). Without them, Python thinks you are looking for a secret variable name instead of just reading the words.\n• Correct: print(""Magic"") -> Output: Magic\n• Incorrect: print(Magic) -> Error!\n\n3. Printing Numbers\nNumbers don't need quotes! Python treats them as mathematical values automatically.\nExample: print(100) -> Output: 100",-,-,-,-,-
1-1,mc,Knowledge Check,What will happen if you run the following code? print(Hello),"It prints Hello;It prints ""Hello"";It causes an Error because there are no quotes;It prints nothing",2,-,-,-
1-2,coding,First Words,Use print() to display Hello World,-,-,# Type your code below,"print(""Hello World"")",Hello World
1-3,reading material,The Memory Jar,"In Python, a Variable is like a labeled jar. You can put a value (like a word or a number) inside the jar and give it a name so you can find it later.\n\n1. How to Create a Variable\nYou use the = sign. This isn't math; it’s an assignment. It means ""Take the thing on the right and put it in the jar on the left.""\nExample:\nhero = ""Link""\n\n2. Using the Jar\nOnce you’ve stored a value, you can use the name of the jar instead of the value itself!\nExample:\nprint(hero) -> Output: Link\n\n3. The Golden Rules of Naming\n• Names must be one word: No spaces! (Use player_score, not player score).\n• No quotes for names: Only the value inside gets quotes if it's text.\n ◦ player = ""Zelda"" (Correct)\n ◦ ""player"" = ""Zelda"" (Error!)",-,-,-,-,-
1-3,mc,Knowledge Check,What will be the output? power = 9000 print(power),"power;9000;""9000"";Error",1,-,-,-
1-4,coding,Labeling Magic,"Create variable artifact, assign ""Golden Compass"", then print it",-,-,artifact = ? \nprint(?),"artifact = ""Golden Compass""\nprint(artifact)",Golden Compass
1-5,reading material,The Scroll & The Stone,"Not all data is created equal. Imagine trying to multiply the word ""Apple"" by the number 5—it doesn't make sense! Python uses Data Types to keep things organized.\n\n1. The Scroll (String)\nAny text wrapped in quotes ("" "") is a String.\n• Example: ""Level 1"", ""Dragon"", ""100"" (Yes, even a number in quotes is treated like text!)\n• Rule: You can't do math with Strings.\n\n2. The Stone (Integer)\nA whole number without quotes is an Integer.\n• Example: 5, 100, -20\n• Rule: You can perform math (like addition or subtraction) on these.\n\n3. Why it Matters\nLook what happens when we use the + sign:\n• String + String: ""10"" + ""10"" becomes ""1010"" (It just glues them together!)\n• Integer + Integer: 10 + 10 becomes 20 (Actual math!)",-,-,-,-,-
1-5,mc,Knowledge Check,Which of the following is an Integer?,"""42"";Hello;42;""High Score""",2,-,-,-
1-6,coding,Type Transformation,Create age_number as Integer 15,-,-,"age_text = ""15""\nage_number = ?\nprint(f""Access Granted! Age verified as: {age_number}"")","age_number = 15\nprint(f""Access Granted! Age verified as: {age_number}"")",Access Granted! Age verified as: 15
1-7,reading material,The Math Forge,"In Python, you can perform calculations just like you would on a calculator. These symbols are called Operators.\n\n1. The Basic Four\n• Addition (+): 10 + 5 becomes 15\n• Subtraction (-): 20 - 5 becomes 15\n• Multiplication (*): 3 * 5 becomes 15 (We use the asterisk, not an 'x'!)\n• Division (/): 30 / 2 becomes 15.0\n\n2. Using Variables in Math\nThe real power comes when you use Variables instead of just raw numbers. Python will look inside the ""jar,"" grab the value, and do the math for you.\nExample:\napples = 5 \nprice = 2 \ntotal_cost = apples * price \nprint(total_cost) -> Output: 10\n\n3. Order of Operations\nPython follows standard math rules (PEMDAS). It does multiplication and division before addition and subtraction unless you use parentheses ().",-,-,-,-,-
1-7,mc,Knowledge Check,score=10 bonus=5 final_score = score + bonus * 2,30;20;25;15,2,-,-,-
1-8,coding,Alchemy Lab,Calculate final_health = current_health - damage,-,-,"current_health = 100\ndamage = 30\nfinal_health = ?\nprint(f""Final Health: {final_health}"")","final_health = current_health - damage\nprint(f""Final Health: {final_health}"")",Final Health: 70